movie_id,movie_name,tags,rating
tt9114286,Black Panther: Wakanda Forever,"Action, Adventure, Drama, The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa., Ryan Coogler, Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke",6.9
tt1630029,Avatar: The Way of Water,"Action, Adventure, Fantasy, Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home., James Cameron, Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang",7.8
tt5884796,Plane,"Action, Thriller, A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm., Jean-François Richet, Gerard Butler, 
Mike Colter, 
Tony Goldwyn, 
Yoson An",6.5
tt6710474,Everything Everywhere All at Once,"Action, Adventure, Comedy, A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led., Dan Kwan, 
Daniel Scheinert, Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",8.0
tt10954600,Ant-Man and the Wasp: Quantumania,"Action, Adventure, Comedy, Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible., Peyton Reed, Paul Rudd, 
Evangeline Lilly, 
Jonathan Majors, 
Kathryn Newton",6.6
tt12593682,Bullet Train,"Action, Comedy, Thriller, Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common., David Leitch, Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry",7.3
tt1016150,All Quiet on the Western Front,"Action, Drama, War, A young German soldier's terrifying experiences and distress on the western front during World War I., Edward Berger, Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus",7.8
tt1745960,Top Gun: Maverick,"Action, Drama, After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it., Joseph Kosinski, Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer",8.3
tt12844910,Pathaan,"Action, Adventure, Drama, An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland., Siddharth Anand, Shah Rukh Khan, 
Deepika Padukone, 
John Abraham, 
Dimple Kapadia",6.6
tt1825683,Black Panther,"Action, Adventure, Sci-Fi, T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past., Ryan Coogler, Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",7.3
